second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
69	43232192.00	26027414.00	125122.00	17014378.00	0.00	65281.00	43031800.00	17013744.00	0.00	17007936.00	9000848.00	0.00	115.00	0.00	33475988.00	13740052.00	0.00	13740101.00	5995720.00	115.00	0.00	0.00	9546655.00	3273692.00	0.00	3267835.00	3005128.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11728.00	26027412.00	
70	43110556.00	26002856.00	107785.00	16944408.00	0.00	55516.00	42941496.00	16944156.00	0.00	16939380.00	9048521.00	0.00	113.00	0.00	33439538.00	13717068.00	0.00	13717011.00	6005345.00	113.00	0.00	0.00	9492631.00	3227087.00	0.00	3222369.00	3043175.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9940.00	26002850.00	
71	43299424.00	26146232.00	109251.00	16988188.00	0.00	55753.00	43130788.00	16988804.00	0.00	16984108.00	9148487.00	0.00	126.00	0.00	33619880.00	13781524.00	0.00	13781603.00	6056628.00	126.00	0.00	0.00	9501648.00	3207282.00	0.00	3202506.00	3091860.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9638.00	26146236.00	
72	43268844.00	26117852.00	102715.00	16995328.00	0.00	52948.00	43106400.00	16994242.00	0.00	16989944.00	9112688.00	0.00	129.00	0.00	33590872.00	13770058.00	0.00	13769903.00	6050784.00	129.00	0.00	0.00	9506126.00	3224183.00	0.00	3220039.00	3061904.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9137.00	26117852.00	
73	43227444.00	26090936.00	103116.00	16981308.00	0.00	52079.00	43074108.00	16982636.00	0.00	16978470.00	9101637.00	0.00	128.00	0.00	33587448.00	13774196.00	0.00	13773964.00	6039163.00	128.00	0.00	0.00	9475419.00	3208439.00	0.00	3204507.00	3062473.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9024.00	26090932.00	
74	43411868.00	26215540.00	102633.00	17041152.00	0.00	52538.00	43250924.00	17040304.00	0.00	17036176.00	9164937.00	0.00	125.00	0.00	33737560.00	13824429.00	0.00	13824467.00	6088539.00	125.00	0.00	0.00	9503983.00	3215875.00	0.00	3211710.00	3076398.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8868.00	26215540.00	
75	43323824.00	26256624.00	83290.00	16942510.00	0.00	41402.00	43198076.00	16941948.00	0.00	16939066.00	9307500.00	0.00	137.00	0.00	33750416.00	13800785.00	0.00	13800722.00	6148769.00	137.00	0.00	0.00	9438238.00	3141163.00	0.00	3138344.00	3158731.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6562.00	26256632.00	
76	43487456.00	26371868.00	90572.00	16980124.00	0.00	44882.00	43354984.00	16981508.00	0.00	16978264.00	9385495.00	0.00	127.00	0.00	33892320.00	13853065.00	0.00	13852916.00	6186207.00	127.00	0.00	0.00	9453078.00	3128443.00	0.00	3125347.00	3199288.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7056.00	26371868.00	
77	43406696.00	26354600.00	84021.00	16926692.00	0.00	41394.00	43279140.00	16925884.00	0.00	16923008.00	9420810.00	0.00	130.00	0.00	33843144.00	13821862.00	0.00	13821895.00	6199260.00	130.00	0.00	0.00	9426684.00	3104021.00	0.00	3101113.00	3221550.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6449.00	26354604.00	
78	42860496.00	25830896.00	102948.00	16873390.00	0.00	53266.00	42704136.00	16874288.00	0.00	16869664.00	8948473.00	0.00	123.00	0.00	33285996.00	13660894.00	0.00	13660635.00	5964344.00	123.00	0.00	0.00	9406552.00	3213395.00	0.00	3209028.00	2984129.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11432.00	25830896.00	
79	43413060.00	26216982.00	100561.00	17044060.00	0.00	51456.00	43255808.00	17043252.00	0.00	17039026.00	9163763.00	0.00	110.00	0.00	33740544.00	13823647.00	0.00	13823712.00	6093074.00	110.00	0.00	0.00	9505607.00	3219604.00	0.00	3215314.00	3070689.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8596.00	26216974.00	
80	43339052.00	26269958.00	82983.00	16945392.00	0.00	40716.00	43215792.00	16945368.00	0.00	16942686.00	9318314.00	0.00	115.00	0.00	33766144.00	13811209.00	0.00	13811071.00	6143754.00	115.00	0.00	0.00	9440334.00	3134159.00	0.00	3131615.00	3174560.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6262.00	26269960.00	
