hit_rate_ini:	0.0474645	miss_ratio_ini:	1
15598	2913	0.371845	0.891113	0.512998
82443	3444	0.371825	0.891113	0.513841
11978	2984	0.371807	0.891113	0.51468
38484	4100	0.371792	0.891113	0.515517
23795	3664	0.371776	0.891113	0.516351
40042	3492	0.371758	0.891113	0.517182
10793	2934	0.37174	0.891113	0.51801
12403	3761	0.371727	0.891113	0.518836
4480	2383	0.371713	0.891113	0.519658
86989	3523	0.371694	0.891113	0.520478
368686	3565	0.371675	0.891113	0.521295
15631	4021	0.371662	0.891113	0.522109
89784	3184	0.37164	0.891113	0.52292
15691	3226	0.371623	0.891113	0.523729
526543	2906	0.371599	0.891113	0.524535
16129	3680	0.371584	0.891113	0.525338
36298	3707	0.371567	0.891113	0.526138
531701	3055	0.371544	0.891113	0.526936
18954	4429	0.371532	0.891113	0.527731
12564	3519	0.371518	0.891113	0.528523
88930	3915	0.371501	0.891113	0.529313
14584	3323	0.371484	0.891113	0.5301
13158	2691	0.371464	0.891113	0.530885
8457	3469	0.371452	0.891113	0.531667
33394	4015	0.371436	0.891113	0.532446
43447	4107	0.371421	0.891113	0.533223
650497	3579	0.371401	0.891113	0.533997
9206	3878	0.371391	0.891113	0.534768
14853	4420	0.37138	0.891113	0.535537
24127	3683	0.371364	0.891113	0.536304
23836	4140	0.37135	0.891113	0.537068
10212	3856	0.371338	0.891113	0.537829
629160	2893	0.371314	0.891113	0.538588
30795	2334	0.371286	0.891113	0.539344
529510	3886	0.371268	0.891113	0.540098
8438	3566	0.371257	0.891113	0.54085
17358	3634	0.371242	0.891113	0.541599
23382	2492	0.371217	0.891113	0.542345
25927	3534	0.371199	0.891113	0.543089
9172	3737	0.371188	0.891113	0.543831
12019	4011	0.371177	0.891113	0.544571
25425	3880	0.371161	0.891113	0.545307
25831	5927	0.371152	0.891113	0.546042
12460	3417	0.371137	0.891113	0.546774
650795	3852	0.371119	0.891113	0.547504
34554	3644	0.371102	0.891113	0.548232
8100	3773	0.371092	0.891113	0.548957
7219	3330	0.37108	0.891113	0.549679
49010	4319	0.371066	0.891113	0.5504
54	3507	0.372275	0.890625	0.551118
80	3216	0.373091	0.890137	0.551834
65	3993	0.3741	0.889648	0.552548
68	4001	0.375065	0.88916	0.553259
69	3279	0.376012	0.888672	0.553968
71	3325	0.376932	0.888184	0.554675
88	3573	0.377676	0.887695	0.55538
111	3500	0.378264	0.887207	0.556082
97	3024	0.378935	0.886719	0.556782
124	4137	0.379463	0.88623	0.55748
147	4426	0.379909	0.885742	0.558176
246	4301	0.38017	0.885254	0.55887
165	3393	0.380561	0.884766	0.559561
229	3758	0.380841	0.884277	0.56025
320	3455	0.381035	0.883789	0.560937
300	2862	0.381239	0.883301	0.561622
304	3884	0.381446	0.882812	0.562305
394	3742	0.381602	0.882324	0.562986
420	3719	0.381747	0.881836	0.563665
