hit_rate_ini:	0.145889	miss_ratio_ini:	0.288391
1486	16085	0.485389	0.264343	1
1310	29840	0.48544	0.264282	1
1307	20070	0.485489	0.264221	1
1752	22990	0.485526	0.26416	1
1627	9119	0.485561	0.26416	1
1821	20680	0.485596	0.264099	1
1408	21665	0.485643	0.264038	1
1585	13818	0.485681	0.264038	1
1547	9706	0.485719	0.264038	1
1790	8758	0.48575	0.264038	1
1954	51645	0.485785	0.263977	1
1635	21913	0.485824	0.263916	1
1809	18895	0.485859	0.263855	1
1948	27760	0.485892	0.263794	1
1935	12371	0.485923	0.263794	1
1938	23830	0.485956	0.263733	1
1982	82962	0.48599	0.263672	1
2043	13375	0.486019	0.263672	1
1559	5526	0.486051	0.263672	1
1755	30499	0.486089	0.263611	1
1696	13869	0.486125	0.263611	1
1806	11073	0.486157	0.263611	1
1724	92477	0.486197	0.26355	1
1839	25433	0.486232	0.263489	1
1891	45115	0.486268	0.263428	1
1606	13714	0.486306	0.263428	1
2006	33705	0.486339	0.263367	1
1877	8105	0.486367	0.263367	1
1560	20932	0.486409	0.263306	1
1781	37764	0.486446	0.263245	1
1916	21677	0.486479	0.263184	1
1723	13729	0.486515	0.263184	1
1707	28126	0.486553	0.263123	1
1852	28718	0.486589	0.263062	1
1463	11144	0.48663	0.263062	1
1866	20240	0.486664	0.263	1
1844	39064	0.4867	0.262939	1
2034	80735	0.486734	0.262878	1
1782	32918	0.486771	0.262817	1
2005	10575	0.486799	0.262817	1
1746	26138	0.486836	0.262756	1
2025	11320	0.486864	0.262756	1
1951	14928	0.486896	0.262756	1
2027	16002	0.486926	0.262756	1
1552	19007	0.486967	0.262695	1
2023	23329	0.486998	0.262634	1
1769	22331	0.487035	0.262573	1
1886	20093	0.487068	0.262512	1
1783	23525	0.487105	0.262451	1
1787	34739	0.487142	0.26239	1
1924	18297	0.487174	0.262329	1
1999	20328	0.487206	0.262268	1
3415	7437	0.487217	0.262268	1
3878	109452	0.487234	0.262207	1
11808	108915	0.48724	0.262146	1
12161	32370	0.487243	0.262085	1
12413	12994	0.487244	0.262085	1
12952	16926	0.487245	0.262024	1
17127	72507	0.487248	0.262024	1
8771	27313	0.487253	0.261963	1
14720	53482	0.487257	0.261902	1
12389	17854	0.487259	0.261841	1
11950	101906	0.487264	0.26178	1
13472	14772	0.487264	0.26178	1
17413	11886	0.487263	0.261841	1
17103	22842	0.487264	0.261841	1
10217	20697	0.487267	0.26178	1
13777	41914	0.487271	0.261719	1
8773	7861	0.48727	0.261719	1
16736	23726	0.487271	0.261719	1
24816	18189	0.48727	0.261719	1
11488	22915	0.487273	0.261658	1
13009	17771	0.487274	0.261597	1
8027	35760	0.487281	0.261536	1
9743	66736	0.487287	0.261475	1
18060	21168	0.487288	0.261475	1
24661	31797	0.487289	0.261475	1
13873	23147	0.487291	0.261414	1
23143	7481	0.487284	0.261475	1
15956	22801	0.487286	0.261414	1
19429	15457	0.487285	0.261475	1
8664	54624	0.487292	0.261414	1
16327	27430	0.487293	0.261353	1
14341	71971	0.487297	0.261292	1
11245	17917	0.4873	0.26123	1
